cluster	gene
3	ENSG00000151892
3	ENSG00000152580
3	ENSG00000152661
3	ENSG00000156284
3	ENSG00000158050
3	ENSG00000159208
3	ENSG00000159337
3	ENSG00000159958
3	ENSG00000160868
3	ENSG00000161031
3	ENSG00000161944
3	ENSG00000162543
3	ENSG00000162645
3	ENSG00000162747
3	ENSG00000162777
3	ENSG00000163599
3	ENSG00000164047
3	ENSG00000164082
3	ENSG00000164112
3	ENSG00000164929
3	ENSG00000165125
3	ENSG00000165181
3	ENSG00000165816
3	ENSG00000166736
3	ENSG00000167046
3	ENSG00000167701
3	ENSG00000167941
3	ENSG00000167971
3	ENSG00000168062
3	ENSG00000168243
3	ENSG00000168754
3	ENSG00000169550
3	ENSG00000169676
3	ENSG00000170482
3	ENSG00000170667
3	ENSG00000171227
3	ENSG00000171766
3	ENSG00000172164
3	ENSG00000172382
3	ENSG00000172575
3	ENSG00000172782
3	ENSG00000173093
3	ENSG00000173714
3	ENSG00000174332
3	ENSG00000174950
3	ENSG00000176020
3	ENSG00000176387
3	ENSG00000176697
3	ENSG00000177238
3	ENSG00000178226
3	ENSG00000178372
3	ENSG00000178467
3	ENSG00000178776
3	ENSG00000179751
3	ENSG00000180044
3	ENSG00000180316
3	ENSG00000182463
3	ENSG00000182687
3	ENSG00000182957
3	ENSG00000183049
3	ENSG00000183378
3	ENSG00000183479
3	ENSG00000183729
3	ENSG00000183798
3	ENSG00000184613
3	ENSG00000184709
3	ENSG00000186204
3	ENSG00000186207
3	ENSG00000186326
3	ENSG00000186395
3	ENSG00000186417
3	ENSG00000186442
3	ENSG00000186648
3	ENSG00000187672
3	ENSG00000188338
3	ENSG00000189325
3	ENSG00000196224
3	ENSG00000196782
3	ENSG00000197249
3	ENSG00000197915
3	ENSG00000198569
3	ENSG00000198643
3	ENSG00000198797
3	ENSG00000198844
3	ENSG00000198948
3	ENSG00000203618
3	ENSG00000204020
3	ENSG00000204195
3	ENSG00000204335
3	ENSG00000204542
3	ENSG00000204882
3	ENSG00000205502
3	ENSG00000205639
3	ENSG00000215853
3	ENSG00000225556
3	ENSG00000236939
3	ENSG00000241598
3	ENSG00000244122
3	ENSG00000244242
3	ENSG00000244752
3	ENSG00000248485
3	ENSG00000258740
3	ENSG00000261371
3	ENSG00000263639
3	ENSG00000269433
3	ENSG00000277758
4	ENSG00000064205
4	ENSG00000107187
4	ENSG00000116183
4	ENSG00000121764
4	ENSG00000124134
4	ENSG00000126368
4	ENSG00000129514
4	ENSG00000129951
4	ENSG00000134007
4	ENSG00000157782
4	ENSG00000165323
4	ENSG00000186919
4	ENSG00000188779
4	ENSG00000188869
4	ENSG00000188996
4	ENSG00000198520
4	ENSG00000231852
4	ENSG00000248871
4	ENSG00000254873
4	ENSG00000257242
4	ENSG00000277726
5	ENSG00000002587
5	ENSG00000006327
5	ENSG00000007038
5	ENSG00000008517
5	ENSG00000019582
5	ENSG00000041982
5	ENSG00000047936
5	ENSG00000048052
5	ENSG00000049130
5	ENSG00000050730
5	ENSG00000057294
5	ENSG00000061918
5	ENSG00000065328
5	ENSG00000075213
5	ENSG00000078401
5	ENSG00000079337
5	ENSG00000085276
5	ENSG00000087494
5	ENSG00000097096
5	ENSG00000099250
5	ENSG00000101311
5	ENSG00000101443
5	ENSG00000102854
5	ENSG00000104998
5	ENSG00000105255
5	ENSG00000105974
5	ENSG00000106089
5	ENSG00000107105
5	ENSG00000108342
5	ENSG00000111012
5	ENSG00000111186
5	ENSG00000112208
5	ENSG00000112218
5	ENSG00000112782
5	ENSG00000113396
5	ENSG00000113594
5	ENSG00000115163
5	ENSG00000115232
5	ENSG00000115758
5	ENSG00000117598
5	ENSG00000119699
5	ENSG00000121335
5	ENSG00000122641
5	ENSG00000123342
5	ENSG00000123496
5	ENSG00000125148
5	ENSG00000127564
5	ENSG00000128274
5	ENSG00000128342
5	ENSG00000131620
5	ENSG00000131650
5	ENSG00000131771
5	ENSG00000132031
5	ENSG00000133328
5	ENSG00000134339
5	ENSG00000135046
5	ENSG00000135480
5	ENSG00000135549
5	ENSG00000136542
5	ENSG00000137801
5	ENSG00000138675
5	ENSG00000140534
5	ENSG00000144488
5	ENSG00000144959
5	ENSG00000146592
5	ENSG00000147536
5	ENSG00000148671
5	ENSG00000149090
5	ENSG00000149798
5	ENSG00000151364
5	ENSG00000151835
5	ENSG00000153162
5	ENSG00000153993
5	ENSG00000154447
5	ENSG00000157168
5	ENSG00000159374
5	ENSG00000161281
5	ENSG00000161653
5	ENSG00000163219
5	ENSG00000163395
5	ENSG00000163507
5	ENSG00000164116
5	ENSG00000165443
5	ENSG00000166173
5	ENSG00000166510
5	ENSG00000167034
5	ENSG00000167617
5	ENSG00000167641
5	ENSG00000167779
5	ENSG00000167916
5	ENSG00000168685
5	ENSG00000169715
5	ENSG00000170989
5	ENSG00000171224
5	ENSG00000171345
5	ENSG00000171631
5	ENSG00000173432
5	ENSG00000174607
5	ENSG00000175505
5	ENSG00000176208
5	ENSG00000178773
5	ENSG00000178826
5	ENSG00000178882
5	ENSG00000179431
5	ENSG00000179826
5	ENSG00000181634
5	ENSG00000182898
5	ENSG00000183691
5	ENSG00000183914
5	ENSG00000184254
5	ENSG00000184261
5	ENSG00000184347
5	ENSG00000186777
5	ENSG00000186871
5	ENSG00000187800
5	ENSG00000188293
5	ENSG00000196154
5	ENSG00000196584
5	ENSG00000197301
